idDM,NameDM,LocationDM,PhoneDM,EmailDM,OpenningHours,WebsiteDM
1,dm-KE,"Rosenheim 08031","+49 071-9061527",q+@dm.de,"12:44 AM - 05:35 PM",https://www.dm.de
2,dm-NG,"Rosenheim 08031","+49 981-4687695",N+@dm.de,"04:40 AM - 12:49 PM",https://www.dm.de
3,dm-R,"Berlin 030","+49 648-1386598",S+@dm.de,"11:49 AM - 04:57 AM",https://www.dm.de
4,dm-LS,"Leipzig 0341","+49 768-2403498",y+@dm.de,"08:57 AM - 03:13 PM",https://www.dm.de
5,dm-R,"Konstanz 07531","+49 386-5351079",8+@dm.de,"07:49 AM - 12:15 AM",https://www.dm.de
6,dm-LS,"Konstanz 07531","+49 348-7374981",U+@dm.de,"00:50 PM - 12:18 PM",https://www.dm.de
7,dm-DUS,"Mannheim 0621","+49 318-0616577",3+@dm.de,"05:30 PM - 06:29 AM",https://www.dm.de
8,dm-BS,"Weimar 03643","+49 078-9682428",a+@dm.de,"12:34 PM - 12:54 PM",https://www.dm.de
9,dm-DUS,"Stuttgart 0711","+49 994-9648380",k+@dm.de,"02:24 PM - 10:50 PM",https://www.dm.de
10,dm-B,"Kiel 0431","+49 971-8241756",3+@dm.de,"10:41 AM - 02:24 PM",https://www.dm.de
11,dm-U,"Jena 03641","+49 856-8144585",5+@dm.de,"04:03 AM - 11:06 PM",https://www.dm.de
12,dm-KO,"Leipzig 0341","+49 115-2854721",Z+@dm.de,"08:17 AM - 12:15 AM",https://www.dm.de
13,dm-ST,"Rostock 0381","+49 434-6484813",5+@dm.de,"03:15 AM - 02:17 AM",https://www.dm.de
14,dm-MCHG,"Heidelberg 06221","+49 234-9425927",h+@dm.de,"02:05 AM - 12:27 AM",https://www.dm.de
15,dm-RAS,"Rosenheim 08031","+49 999-2314127",T+@dm.de,"12:37 AM - 00:40 AM",https://www.dm.de
16,dm-KO,"Karlsruhe 0721","+49 281-3260734",2+@dm.de,"04:07 PM - 10:39 PM",https://www.dm.de
17,dm-U,"Heidelberg 06221","+49 310-3443680",R+@dm.de,"12:17 AM - 03:32 PM",https://www.dm.de
18,dm-MCHG,"Rosenheim 08031","+49 003-8876617",2+@dm.de,"04:04 PM - 04:29 AM",https://www.dm.de
19,dm-RAS,"Essen 0201","+49 838-1432229",p+@dm.de,"10:25 AM - 10:53 AM",https://www.dm.de
20,"dm-W dm-E","Bad Staffelstein 09573","+49 131-3326634",X+@dm.de,"12:39 AM - 12:12 AM",https://www.dm.de
21,dm-MM,"Lichtenfels 09571","+49 652-4427947",t+@dm.de,"07:57 AM - 08:49 PM",https://www.dm.de
22,dm-KL,"Augsburg 0821","+49 684-0823705",f+@dm.de,"08:51 AM - 12:34 PM",https://www.dm.de
23,dm-RO,"Duesseldorf 0211","+49 350-2653126",S+@dm.de,"11:58 AM - 08:34 AM",https://www.dm.de
24,dm-KE,"Heidelberg 06221","+49 242-6671731",W+@dm.de,"04:12 PM - 11:35 AM",https://www.dm.de
25,dm-MU,"Hamburg 040","+49 753-7404812",e+@dm.de,"10:14 PM - 11:46 AM",https://www.dm.de
26,dm-BS,"Frankfurt 069","+49 621-8496873",X+@dm.de,"00:14 PM - 07:56 PM",https://www.dm.de
27,dm-DD,"Moenchengladbach 02161","+49 109-3272344",T+@dm.de,"07:49 PM - 10:40 PM",https://www.dm.de
28,dm-DUS,"Berlin 030","+49 216-8416740",D+@dm.de,"07:04 AM - 12:58 PM",https://www.dm.de
