publisherID,publisher_name,city,state,country
1,Springer,Paris,Paris region,France
2,Elsevier,London,London region,UK
3,Wiley,Rome,Rome region,Italy
4,Taylor & Francis,Berlin,Berlin region,Germany
5,Oxford University Press,Madrid,Madrid region,Spain
6,Cambridge University Press,Vienna,Vienna region,Austria
7,IEEE,Amsterdam,Amsterdam region,Netherlands
8,ACM,Prague,Prague region,Czech
9,Nature Publishing Group,Athens,Athens region,Greece
10,American Chemical Society,Stockholm,Stockholm region,Sweden
