titleID,title_name,type,pages,price,sales,pubdate,contract,Publisher_publisherID
1,Introduction to Psychology,article,10,20.55,5,2023-08-14,56.948969615,5.7040643195
2,The Art of Mathematics,monograph,25,25.00,6,2023-05-29,73.3188712167,8.8030826045
3,History of World War II,thesis,50,50.90,10,2022-12-26,56.5532009821,1.2822149567
4,Literary Theory: A Comprehensive Guide,dissertation,100,150,8,2023-03-23,75.0874422961,1.6549587098
5,Chemistry: Principles and Applications,research paper,200,30.99,2,2023-07-17,88.5613823292,6.3216964961
6,Sociology: Understanding Society,book chapter,500,200.99,9,2022-12-22,76.8832369118,2.5436194596
7,Economics for Beginners,conference paper,100,40.95,23,2023-02-28,77.7204307637,5.9835761212
8,Political Science: An Introduction,review,150,35.00,13,2023-01-13,41.6182909843,3.4935232665
9,Philosophy: The Quest for Truth,case study,200,45.00,9,2023-07-08,84.248608769,9.8512806246
10,Biology: Concepts and Connections,white paper,500,17.50,10,2023-07-16,85.7483712929,9.7376149403
