,B,C,D,E
34,43,16,7,48
38,89,65,61,69
22,56,64,12,78
20,84,57,62,15
43,90,60,98,24
95,12,29,59,85
68,57,12,94,45
22,56,64,12,78
79,79,23,58,98
100,85,48,91,1
86,73,61,38,80
25,69,60,48,89
101,45,71,28,77
70,35,45,4,42
64,23,97,45,73
79,79,23,58,98
15,31,59,38,96
101,45,71,28,77
11,4,39,83,11
37,90,7,47,63
81,79,26,25,54
21,31,96,68,81
15,31,59,38,96
19,0,19,79,14
101,45,71,28,77
31,66,39,1,73
104,35,47,8,99
14,15,84,5,96
71,27,22,18,69
19,0,19,79,14
72,47,21,78,33
74,28,14,0,51
95,12,29,59,85
56,59,29,17,11
18,88,11,5,57
22,56,64,12,78
85,76,3,46,73
92,15,32,68,9
45,16,91,79,3
13,76,63,44,91
52,90,67,78,91
80,78,32,68,38
71,27,22,18,69
61,24,35,25,99
81,79,26,25,54
70,35,45,4,42
78,54,93,78,23
42,48,3,55,26
36,80,74,32,81
43,90,60,98,24
64,23,97,45,73
31,66,39,1,73
19,0,19,79,14
90,90,78,85,46
81,79,26,25,54
19,0,19,79,14
12,4,91,93,1
38,89,65,61,69
61,24,35,25,99
86,73,61,38,80
67,81,26,51,93
27,53,96,64,66
90,90,78,85,46
17,83,95,46,87
77,62,54,37,75
98,67,64,14,48
24,70,37,62,68
53,99,1,62,99
90,90,78,85,46
14,15,84,5,96
18,88,11,5,57
92,15,32,68,9
39,52,20,84,44
51,50,44,89,83
82,26,27,18,94
80,78,32,68,38
66,77,29,63,37
85,76,3,46,73
18,88,11,5,57
58,33,52,54,86
68,57,12,94,45
19,0,19,79,14
34,43,16,7,48
63,67,30,9,62
58,33,52,54,86
15,31,59,38,96
85,76,3,46,73
79,79,23,58,98
73,43,58,1,42
12,4,91,93,1
99,69,75,63,11
90,90,78,85,46
64,23,97,45,73
89,77,82,83,31
74,28,14,0,51
64,23,97,45,73
100,85,48,91,1
46,6,73,1,36
82,26,27,18,94
98,67,64,14,48
51,50,44,89,83
104,35,47,8,99
10,89,43,38,71
25,69,60,48,89
97,66,15,54,75
40,21,71,55,90
100,85,48,91,1
99,69,75,63,11
84,45,40,21,71
39,52,20,84,44
12,4,91,93,1
12,4,91,93,1
25,69,60,48,89
63,67,30,9,62
35,86,69,60,74
90,90,78,85,46
75,69,8,93,71
74,28,14,0,51
80,78,32,68,38
23,84,21,14,33
48,79,52,82,83
83,60,41,25,50
92,15,32,68,9
95,12,29,59,85
51,50,44,89,83
30,75,86,12,11
38,89,65,61,69
103,31,87,79,45
102,76,57,7,0
71,27,22,18,69
83,60,41,25,50
16,80,37,79,67
71,27,22,18,69
70,35,45,4,42
50,52,68,19,86
97,66,15,54,75
53,99,1,62,99
65,45,72,16,19
49,26,83,47,45
75,69,8,93,71
45,16,91,79,3
56,59,29,17,11
37,90,7,47,63
11,4,39,83,11
96,51,57,99,64
84,45,40,21,71
29,75,12,35,18
22,56,64,12,78
99,69,75,63,11
55,73,54,68,64
78,54,93,78,23
31,66,39,1,73
31,66,39,1,73
82,26,27,18,94
70,35,45,4,42
92,15,32,68,9
65,45,72,16,19
72,47,21,78,33
103,31,87,79,45
40,21,71,55,90
57,1,71,8,21
21,31,96,68,81
14,15,84,5,96
33,49,85,17,29
90,90,78,85,46
70,35,45,4,42
99,69,75,63,11
40,21,71,55,90
60,54,53,18,88
80,78,32,68,38
65,45,72,16,19
13,76,63,44,91
50,52,68,19,86
14,15,84,5,96
84,45,40,21,71
90,90,78,85,46
53,99,1,62,99
16,80,37,79,67
46,6,73,1,36
92,15,32,68,9
60,54,53,18,88
78,54,93,78,23
51,50,44,89,83
12,4,91,93,1
75,69,8,93,71
46,6,73,1,36
39,52,20,84,44
56,59,29,17,11
20,84,57,62,15
29,75,12,35,18
65,45,72,16,19
57,1,71,8,21
27,53,96,64,66
54,7,52,5,75
89,77,82,83,31
31,66,39,1,73
39,52,20,84,44
33,49,85,17,29
103,31,87,79,45
77,62,54,37,75
85,76,3,46,73
28,69,37,22,88
60,54,53,18,88
27,53,96,64,66
70,35,45,4,42
44,99,88,56,34
47,82,76,20,33
101,45,71,28,77
61,24,35,25,99
10,89,43,38,71
46,6,73,1,36
56,59,29,17,11
36,80,74,32,81
98,67,64,14,48
