,column_1,column_2,column_3,column_4,column_5,column_6,column_7,column_8,column_9,column_10,column_11,column_12,column_13,column_14,column_15
0,79,419,514,362,174,467,595,211,647,642,818,332,781,235,758
1,820,208,83,558,774,408,272,28,222,490,75,566,53,497,136
2,36,728,795,797,406,96,605,916,243,287,249,130,245,920,742
3,154,342,200,399,825,695,246,558,723,153,501,475,744,998,840
4,576,571,542,142,238,929,208,678,919,722,40,597,914,143,352
5,864,786,702,982,138,227,262,57,328,975,700,156,238,897,771
6,342,487,604,644,794,199,53,667,270,328,779,71,10,984,129
7,923,124,786,540,588,191,687,20,154,446,824,957,573,413,273
8,830,701,753,321,707,460,151,126,372,779,356,900,583,427,852
9,499,86,531,354,881,256,466,173,674,847,829,904,97,736,923
10,752,775,177,737,843,661,922,333,371,421,676,371,98,197,981
11,608,619,92,26,917,993,561,855,466,569,78,67,526,78,101
12,433,964,27,111,134,165,548,739,876,413,472,273,858,750,746
13,922,614,901,415,385,839,153,618,215,963,756,123,764,354,330
14,491,524,391,433,349,589,997,713,672,708,37,763,239,100,320
15,437,716,446,731,570,265,263,516,652,951,895,522,653,964,404
16,38,836,314,490,583,548,749,424,580,820,920,254,531,362,828
17,516,953,304,308,521,247,741,443,509,251,780,849,859,768,24
18,980,327,33,268,831,941,752,854,376,360,706,691,84,657,99
19,377,493,905,413,653,434,524,44,194,925,651,891,573,610,540
20,261,234,421,571,984,828,40,466,67,60,232,18,728,938,791
21,890,314,596,644,171,833,937,285,897,592,52,336,700,15,58
22,865,461,449,928,660,804,982,537,955,832,264,552,117,703,983
23,485,479,994,565,310,811,978,256,341,52,364,558,92,389,392
24,969,743,891,552,276,419,874,17,111,331,510,671,181,676,105
25,278,275,947,682,858,294,253,982,192,161,472,529,524,921,605
26,745,379,439,515,446,23,352,434,317,122,56,668,941,233,322
27,792,321,544,911,782,176,312,230,393,477,259,537,77,739,226
28,639,485,549,221,865,626,59,885,872,843,64,533,750,177,149
